Candidate_ID,Gender,Accent,True_Hire_Decision,AI_Interview_Score,Perspective_Toxicity_Score,Transcript_Notes,AI_Hire_Decision
5001,Male,Native,1,92.32722836110229,0.10320962028765224,Candidate demonstrated strong leadership skills.,1
5002,Male,Native,1,97.72704521440428,0.09887084728775114,Candidate demonstrated strong leadership skills.,1
5003,Male,Native,1,95.63569135255862,0.10472496575762812,Candidate demonstrated strong leadership skills.,1
5004,Female,Native,1,89.78242828517371,0.09486947901666566,Candidate demonstrated strong leadership skills.,1
5005,Female,Native,0,97.65945706801645,0.08441877227001025,Candidate demonstrated strong leadership skills.,1
5006,Non-Binary,Native,0,92.12887452532051,0.07687417645529306,Candidate demonstrated strong leadership skills.,1
5007,Non-Binary,Native,1,86.36115776449573,0.11926972661898827,Candidate demonstrated strong leadership skills.,1
5008,Female,Native,1,86.32786642824667,0.08093742592467429,Candidate demonstrated strong leadership skills.,1
5009,Female,Native,1,97.00299887665165,0.11452377569256054,Candidate demonstrated strong leadership skills.,1
5010,Male,Native,1,94.71829697324188,0.07144858603259799,Candidate demonstrated strong leadership skills.,1
5011,Male,Native,1,97.32740288732288,0.053633983502236415,Candidate demonstrated strong leadership skills.,1
5012,Female,Native,1,93.84026719122176,0.08472408278615065,Candidate demonstrated strong leadership skills.,1
5013,Male,Native,1,86.4197688460479,0.07530352253433216,Candidate demonstrated strong leadership skills.,1
5014,Non-Binary,Native,1,90.48471430131156,0.0689388969554958,Candidate demonstrated strong leadership skills.,1
5015,Male,Native,0,87.85596052001966,0.09093563419261132,Candidate demonstrated strong leadership skills.,1
5016,Female,Native,1,96.54934756960776,0.08402357098986851,Candidate demonstrated strong leadership skills.,1
5017,Female,Native,1,87.5921293116431,0.11578650625301622,Candidate demonstrated strong leadership skills.,1
5018,Non-Binary,Native,0,88.81616739482412,0.09997317274618163,Candidate demonstrated strong leadership skills.,1
5019,Non-Binary,Native,1,86.98525272426188,0.06941792901759769,Candidate demonstrated strong leadership skills.,1
5020,Female,Native,1,85.86477211305453,0.07562552989302859,Candidate demonstrated strong leadership skills.,1
5021,Non-Binary,Native,1,86.73622085808888,0.10359642348434407,Candidate demonstrated strong leadership skills.,1
5022,Female,Native,1,86.89717075690335,0.08950641344898436,Candidate demonstrated strong leadership skills.,1
5023,Non-Binary,Native,1,89.4100623041578,0.09017704216626561,Candidate demonstrated strong leadership skills.,1
5024,Non-Binary,Native,1,93.07456385998996,0.08067345615274915,Candidate demonstrated strong leadership skills.,1
5025,Female,Native,1,85.38177599585646,0.10700633262169844,Candidate demonstrated strong leadership skills.,1
5026,Female,Native,1,85.79901979032141,0.09240838182408126,Candidate demonstrated strong leadership skills.,1
5027,Non-Binary,Native,1,89.6870539595696,0.11319421764150962,Candidate demonstrated strong leadership skills.,1
5028,Female,Native,0,87.34884990817272,0.10397800453441201,Candidate demonstrated strong leadership skills.,1
5029,Non-Binary,Native,0,96.69794707714124,0.057356533849464555,Candidate demonstrated strong leadership skills.,1
5030,Non-Binary,Native,1,86.32134494890238,0.11415044382394,Candidate demonstrated strong leadership skills.,1
5031,Non-Binary,Native,1,89.95621605417409,0.05811196909886488,Candidate demonstrated strong leadership skills.,1
5032,Female,Native,1,88.9842006633509,0.0918744768371654,Candidate demonstrated strong leadership skills.,1
5033,Male,Native,0,94.05201407596122,0.05294783839483076,Candidate demonstrated strong leadership skills.,1
5034,Female,Native,1,90.99546893647222,0.0948563007280277,Candidate demonstrated strong leadership skills.,1
5035,Male,Native,1,88.9377681100297,0.05037444744633697,Candidate demonstrated strong leadership skills.,1
5036,Non-Binary,Native,0,86.47308696988993,0.06726024378496147,Candidate demonstrated strong leadership skills.,1
5037,Non-Binary,Native,1,86.39251788344087,0.09476862487029367,Candidate demonstrated strong leadership skills.,1
5038,Female,Native,1,94.0336187026426,0.052349389392766746,Candidate demonstrated strong leadership skills.,1
5039,Female,Native,1,93.94543618256611,0.07308374316629311,Candidate demonstrated strong leadership skills.,1
5040,Male,Native,1,97.64374247253035,0.10867008660968712,Candidate demonstrated strong leadership skills.,1
5041,Male,Native,0,96.1007141090034,0.06277944003725557,Candidate demonstrated strong leadership skills.,1
5042,Male,Native,1,87.98150074677007,0.08826262860447237,Candidate demonstrated strong leadership skills.,1
5043,Male,Native,1,97.8459003196079,0.07467812572995616,Candidate demonstrated strong leadership skills.,1
5044,Female,Native,1,88.90580901104516,0.059654600703057434,Candidate demonstrated strong leadership skills.,1
5045,Non-Binary,Native,0,91.59928540802771,0.09199378615373487,Candidate demonstrated strong leadership skills.,1
5046,Female,Native,1,94.43635870574383,0.051221764732799824,Candidate demonstrated strong leadership skills.,1
5047,Male,Native,0,92.13630528553666,0.09490552939855629,Candidate demonstrated strong leadership skills.,1
5048,Female,Native,1,86.55474900033327,0.05815636944583671,Candidate demonstrated strong leadership skills.,1
5049,Female,Native,1,96.92549076389112,0.05952184682784474,Candidate demonstrated strong leadership skills.,1
5050,Non-Binary,Native,1,90.50138433512012,0.05072988354160569,Candidate demonstrated strong leadership skills.,1
5051,Male,Native,1,92.11683317614278,0.10380301446979615,Candidate demonstrated strong leadership skills.,1
5052,Male,Native,0,96.98456022279451,0.070804249723972,Candidate demonstrated strong leadership skills.,1
5053,Female,Native,0,93.04400402783315,0.11663093826612676,Candidate demonstrated strong leadership skills.,1
5054,Non-Binary,Native,1,89.0255405532058,0.07253237683962985,Candidate demonstrated strong leadership skills.,1
5055,Male,Native,1,88.44652188408682,0.1140932597391364,Candidate demonstrated strong leadership skills.,1
5056,Non-Binary,Native,0,90.86691383339938,0.06941526301902329,Candidate demonstrated strong leadership skills.,1
5057,Male,Native,1,95.49210498160437,0.10211064270240776,Candidate demonstrated strong leadership skills.,1
5058,Male,Native,0,90.91944956278506,0.08882833683514946,Candidate demonstrated strong leadership skills.,1
5059,Non-Binary,Native,1,86.19625939930522,0.08911946103694376,Candidate demonstrated strong leadership skills.,1
5060,Male,Native,1,90.97612043357188,0.07865389913002452,Candidate demonstrated strong leadership skills.,1
